0	 0	0	0	45	0	0	2.48	50	7002	1
0	 0	0	0	52	0	0	0.709091	55	7106	1
0	 0	0	0	46	0	0	0.4375	48	5751	1
0	 0	0	0	48	0	0	0	49	6525	1
0	 0	0	0	75	0	0	1.82143	84	15683	1
0	 0	0	0	74	0	0	2.26087	92	7395	1
0	 0	0	0	73	0	0	8.6	180	19841	1
0	 0	0	0	72	0	0	2.0641	78	8430	1
0	 0	0	0	96	0	0	16.3384	458	62599	1
0	 0	0	0	105	0	0	29.3737	17700	1176912	1
1	 0	0	0	45	0	nan	0	1	2532	1
1	 0	0	0	52	2	2	0	3	1690	1
1	 0	0	0	46	0	nan	0	1	1568	1
1	 0	0	0	48	0	nan	0	1	1799	1
1	 0	0	0	75	4	2	0	5	1835	1
1	 0	0	0	74	8	2.125	0	9	1746	1
1	 0	0	0	73	2	2.5	0	3	2816	1
1	 0	0	0	72	2	2	0	3	2190	1
1	 0	0	0	96	29	2.68966	5.38095	42	3714	1
1	 0	0	0	105	81	3.12346	20.2598	11131	421064	1
0	 1	0	0	45	0	0	2.48	50	3914	1
0	 1	0	0	52	0	0	0.709091	55	9472	1
0	 1	0	0	46	0	0	0.4375	48	6790	1
0	 1	0	0	48	0	0	0	49	7897	1
0	 1	0	0	75	0	0	1.82143	84	15379	1
0	 1	0	0	74	0	0	2.26087	92	47573	1
0	 1	0	0	73	0	0	8.6	180	34192	1
0	 1	0	0	72	0	0	2.0641	78	22388	1
0	 1	0	0	96	0	0	16.3384	458	34326	1
0	 1	0	0	105	0	0	29.3737	17700	1951479	1
0	 0	1	0	45	0	0	2.48	50	7284	1
0	 0	1	0	52	0	0	0.709091	55	13098	1
0	 0	1	0	46	0	0	0.4375	48	6356	1
0	 0	1	0	48	0	0	0	49	11289	1
0	 0	1	0	75	0	0	1.82143	84	63811	1
0	 0	1	0	74	0	0	2.26087	92	26616	1
0	 0	1	0	73	0	0	8.6	180	42296	1
0	 0	1	0	72	0	0	2.0641	78	16213	1
0	 0	1	0	96	0	0	16.3384	458	157425	1
0	 0	1	0	105	0	0	29.3737	17700	2732360	1
0	 0	0	1	45	0	0	2.48	50	10172	1
